,Date,Survey,Borough,Measure,Proportion,MPS
0,12/31/2014,PAS,Barking and Dagenham,"""Good Job"" local",0.56,0.67
1,12/31/2014,PAS,Barnet,"""Good Job"" local",0.67,0.67
2,12/31/2014,PAS,Bexley,"""Good Job"" local",0.72,0.67
3,12/31/2014,PAS,Brent,"""Good Job"" local",0.66,0.67
4,12/31/2014,PAS,Bromley,"""Good Job"" local",0.71,0.67
5,12/31/2014,PAS,Camden,"""Good Job"" local",0.67,0.67
6,12/31/2014,PAS,Croydon,"""Good Job"" local",0.63,0.67
7,12/31/2014,PAS,Ealing,"""Good Job"" local",0.6,0.67
8,12/31/2014,PAS,Enfield,"""Good Job"" local",0.69,0.67
9,12/31/2014,PAS,Greenwich,"""Good Job"" local",0.67,0.67
10,12/31/2014,PAS,Hackney,"""Good Job"" local",0.65,0.67
11,12/31/2014,PAS,Hammersmith and Fulham,"""Good Job"" local",0.74,0.67
12,12/31/2014,PAS,Haringey,"""Good Job"" local",0.66,0.67
13,12/31/2014,PAS,Harrow,"""Good Job"" local",0.74,0.67
14,12/31/2014,PAS,Havering,"""Good Job"" local",0.68,0.67
15,12/31/2014,PAS,Hillingdon,"""Good Job"" local",0.67,0.67
16,12/31/2014,PAS,Hounslow,"""Good Job"" local",0.68,0.67
17,12/31/2014,PAS,Islington,"""Good Job"" local",0.66,0.67
18,12/31/2014,PAS,Kensington and Chelsea,"""Good Job"" local",0.78,0.67
19,12/31/2014,PAS,Kingston upon Thames,"""Good Job"" local",0.74,0.67
20,12/31/2014,PAS,Lambeth,"""Good Job"" local",0.62,0.67
21,12/31/2014,PAS,Lewisham,"""Good Job"" local",0.62,0.67
22,12/31/2014,PAS,Merton,"""Good Job"" local",0.72,0.67
23,12/31/2014,PAS,Newham,"""Good Job"" local",0.55,0.67
24,12/31/2014,PAS,Redbridge,"""Good Job"" local",0.57,0.67
25,12/31/2014,PAS,Richmond upon Thames,"""Good Job"" local",0.78,0.67
26,12/31/2014,PAS,Southwark,"""Good Job"" local",0.67,0.67
27,12/31/2014,PAS,Sutton,"""Good Job"" local",0.77,0.67
28,12/31/2014,PAS,Tower Hamlets,"""Good Job"" local",0.5,0.67
29,12/31/2014,PAS,Waltham Forest,"""Good Job"" local",0.69,0.67
30,12/31/2014,PAS,Wandsworth,"""Good Job"" local",0.72,0.67
31,12/31/2014,PAS,City of Westminster,"""Good Job"" local",0.73,0.67
32,12/31/2014,PAS,Barking and Dagenham,Contact ward officer,0.36,0.41
33,12/31/2014,PAS,Barnet,Contact ward officer,0.38,0.41
34,12/31/2014,PAS,Bexley,Contact ward officer,0.36,0.41
35,12/31/2014,PAS,Brent,Contact ward officer,0.36,0.41
36,12/31/2014,PAS,Bromley,Contact ward officer,0.41,0.41
37,12/31/2014,PAS,Camden,Contact ward officer,0.46,0.41
38,12/31/2014,PAS,Croydon,Contact ward officer,0.38,0.41
39,12/31/2014,PAS,Ealing,Contact ward officer,0.39,0.41
40,12/31/2014,PAS,Enfield,Contact ward officer,0.41,0.41
41,12/31/2014,PAS,Greenwich,Contact ward officer,0.34,0.41
42,12/31/2014,PAS,Hackney,Contact ward officer,0.42,0.41
43,12/31/2014,PAS,Hammersmith and Fulham,Contact ward officer,0.41,0.41
44,12/31/2014,PAS,Haringey,Contact ward officer,0.53,0.41
45,12/31/2014,PAS,Harrow,Contact ward officer,0.37,0.41
46,12/31/2014,PAS,Havering,Contact ward officer,0.47,0.41
47,12/31/2014,PAS,Hillingdon,Contact ward officer,0.43,0.41
48,12/31/2014,PAS,Hounslow,Contact ward officer,0.38,0.41
49,12/31/2014,PAS,Islington,Contact ward officer,0.48,0.41
50,12/31/2014,PAS,Kensington and Chelsea,Contact ward officer,0.42,0.41
51,12/31/2014,PAS,Kingston upon Thames,Contact ward officer,0.41,0.41
52,12/31/2014,PAS,Lambeth,Contact ward officer,0.43,0.41
53,12/31/2014,PAS,Lewisham,Contact ward officer,0.49,0.41
54,12/31/2014,PAS,Merton,Contact ward officer,0.42,0.41
55,12/31/2014,PAS,Newham,Contact ward officer,0.43,0.41
56,12/31/2014,PAS,Redbridge,Contact ward officer,0.37,0.41
57,12/31/2014,PAS,Richmond upon Thames,Contact ward officer,0.38,0.41
58,12/31/2014,PAS,Southwark,Contact ward officer,0.41,0.41
59,12/31/2014,PAS,Sutton,Contact ward officer,0.39,0.41
60,12/31/2014,PAS,Tower Hamlets,Contact ward officer,0.4,0.41
61,12/31/2014,PAS,Waltham Forest,Contact ward officer,0.44,0.41
62,12/31/2014,PAS,Wandsworth,Contact ward officer,0.35,0.41
63,12/31/2014,PAS,City of Westminster,Contact ward officer,0.33,0.41
64,12/31/2014,PAS,Barking and Dagenham,Informed local,0.44,0.49
65,12/31/2014,PAS,Barnet,Informed local,0.46,0.49
66,12/31/2014,PAS,Bexley,Informed local,0.52,0.49
67,12/31/2014,PAS,Brent,Informed local,0.41,0.49
68,12/31/2014,PAS,Bromley,Informed local,0.56,0.49
69,12/31/2014,PAS,Camden,Informed local,0.47,0.49
70,12/31/2014,PAS,Croydon,Informed local,0.56,0.49
71,12/31/2014,PAS,Ealing,Informed local,0.54,0.49
72,12/31/2014,PAS,Enfield,Informed local,0.48,0.49
73,12/31/2014,PAS,Greenwich,Informed local,0.46,0.49
74,12/31/2014,PAS,Hackney,Informed local,0.39,0.49
75,12/31/2014,PAS,Hammersmith and Fulham,Informed local,0.49,0.49
76,12/31/2014,PAS,Haringey,Informed local,0.56,0.49
77,12/31/2014,PAS,Harrow,Informed local,0.45,0.49
78,12/31/2014,PAS,Havering,Informed local,0.53,0.49
79,12/31/2014,PAS,Hillingdon,Informed local,0.49,0.49
80,12/31/2014,PAS,Hounslow,Informed local,0.53,0.49
81,12/31/2014,PAS,Islington,Informed local,0.45,0.49
82,12/31/2014,PAS,Kensington and Chelsea,Informed local,0.41,0.49
83,12/31/2014,PAS,Kingston upon Thames,Informed local,0.53,0.49
84,12/31/2014,PAS,Lambeth,Informed local,0.47,0.49
