"Unemployment rate over time (2005 Q3 - 2023 Q3)","","","","","","","",""
"","","","","","","","",""
"Date","Unemployment rate: Inner London","Unemployment rate: London","Unemployment rate: Outer London","Unemployment rate: Rest of England","Unemployed: Inner London","Unemployed: London","Unemployed: Outer London","Unemployed: Rest of England"
"2005-09","8.1","7.1","6.5","4.3","120600","271800","151200","918200"
"2006-09","9.2","8","7.2","5","139400","307300","167900","1081700"
"2007-09","8.7","7","5.9","4.9","136700","277300","140600","1077100"
"2008-09","8.3","6.9","5.9","5.1","135700","278200","142500","1134000"
"2009-09","9.5","8.5","7.9","7.2","159500","350900","191400","1600200"
"2010-09","9.9","9.1","8.5","7.4","167700","380200","212400","1648200"
"2011-09","10.5","9.5","8.9","7.6","181700","405900","224200","1687700"
"2012-09","9.1","9.2","9.2","7.7","161500","399000","237400","1733900"
"2013-09","9.7","8.9","8.4","7.5","178100","397900","219800","1712300"
"2014-09","7.5","7.2","7","6.3","142100","329000","186800","1447900"
"2015-09","6.7","6.4","6.1","5.1","129800","295900","166100","1180000"
"2016-09","6.4","6","5.6","4.8","127600","282300","154600","1104500"
"2017-09","5.7","5.4","5.3","4.3","113800","260000","146100","999700"
"2018-09","5.5","5.1","4.7","4","113800","245500","131800","934200"
"2019-09","4.5","4.6","4.7","3.8","93900","225900","132000","900500"
"2020-09","4.8","4.8","4.9","4.2","101800","241100","139300","993800"
"2021-09","6.1","6.5","6.8","4.5","130600","327700","197100","1061800"
"2022-09","4","4.5","4.8","3.5","86300","225100","138800","836500"
"2023-09","4.4","4.8","5.2","3.5","95500","242300","146800","845600"
"","","","","","","","",""
"Note: The unemployment rate is the proportion of the economically active population who are classed as unemployed. All aged 16 or older are included. Data points represent a year of survey responses up to Q3 of the year stated. `Start of COVID-19 pandemic` is marked on the chart to highlight the first data point after or including March 2020.","","","","","","","",""
"Data source: Annual Population Survey, ONS via NOMIS","","","","","","","",""
"Chart source: London's Poverty Profile 2024","","","","","","","",""
"London's Poverty Profile is created by charitable funder Trust for London, and economic and public policy consultancy, WPI Economics","","","","","","","",""
"http://www.trustforlondon.org.uk/data","","","","","","","",""
"","","","","","","","",""
